,"Pref Vendor","Reorder Pt (Min)","Max","On Hand","On Sales Order","For Assemblies","Available","Order","On PO","Reorder Qty","Next Deliv","Sales/Week"
"Inventory",,,,,,,,,,,,
"CW2-W3621",,"","",5,0,0,5,,1,0,"12/11/2023",0
"CW2-W362124",,"","",20,0,0,20,,0,0,,0
"CW2-W3624",,"","",0,0,0,0,,0,0,,0
"CW2-W362424",,"","",2,0,0,2,,0,0,,0
"CW2-W3630",,"","",3,0,0,3,,0,0,,0
"CW2-W3639",,"","",19,0,0,19,,0,0,,0
"CW2-WBC2730",,"","",0,0,0,0,,0,0,,0
"CW2-WBC2739",,"","",1,0,0,1,,0,0,,0
"CW2-WDC2430",,"","",6,0,0,6,,0,0,,0
"CW2-WDC2439",,"","",32,0,0,32,,0,0,,0
"CW2-WEA1230",,"","",0,0,0,0,,0,0,,0
"CW2-WEA1239",,"","",3,0,0,3,,0,0,,0
"CW2-WES630",,"","",0,0,0,0,,0,0,,0
"CW2-WES639",,"","",0,0,0,0,,2,0,"12/11/2023",0
"CW2-WES930",,"","",0,0,0,0,,0,0,,0
"CW2-WES939",,"","",0,0,0,0,,0,0,,0
"CW2-WF330",,"","",37,0,0,37,,0,0,,0
"CW2-WF339",,"","",89,0,0,89,,1,0,"12/11/2023",0
"CW2-WF396",,"","",55,0,0,55,,0,0,,0
"CW2-WF630",,"","",0,0,0,0,,0,0,,0
"CW2-WF639",,"","",10,0,0,10,,0,0,,0
"CW2-WF696",,"","",20,0,0,20,,0,0,,0
"CW2-WFF330",,"","",0,0,0,0,,0,0,,0
"CW2-WFF339",,"","",0,0,0,0,,0,0,,0
"CW2-WHF30308",,"","",0,0,0,0,,0,0,,0
"CW2-WHF33308",,"","",3,0,0,3,,0,0,,0
"CW2-WHF36308",,"","",0,0,0,0,,0,0,,0
"CW2-WHF39308",,"","",0,0,0,0,,0,0,,0
"CW2-WRC3018",,"","",5,0,0,5,,0,0,,0
"CW2-WRP1230",,"","",1,0,0,1,,0,0,,0
"CW2-WRP1239",,"","",1,0,0,1,,0,0,,0
"E2-B09",,"","",96,0,0,96,,0,0,,0
"E2-B12",,"","",298,0,0,298,,0,0,,0
"E2-B15",,"","",210,0,0,210,,0,0,,0
"E2-B18",,"","",235,0,0,235,,0,0,,0
"E2-B21",,"","",137,0,0,137,,0,0,,0
"E2-B24",,"","",256,0,0,256,,0,0,,0
"E2-B27",,"","",165,0,0,165,,0,0,,0
"E2-B30",,"","",229,0,0,229,,0,0,,0
"E2-B33",,"","",72,0,0,72,,0,0,,0
"E2-B36",,"","",120,0,0,120,,0,0,,0
"E2-BBC36",,"","",33,0,0,33,,0,0,,0
"E2-BBC42",,"","",31,0,0,31,,0,0,,0
"E2-BBM",,"","",4,0,0,4,,0,0,,0
"E2-BEA1224-L",,"","",2,0,0,2,,0,0,,0
"E2-BEA1224-R",,"","",0,0,0,0,,0,0,,0
"E2-BEA2424 L / R",,"","",1,0,0,1,,0,0,,0
"E2-BEOS12-L",,"","",0,0,0,0,,0,0,,0
"E2-BEOS12-R",,"","",0,0,0,0,,0,0,,0
"E2-BEOS6-L",,"","",2,0,0,2,,0,0,,0
"E2-BEOS6-R",,"","",0,0,0,0,,0,0,,0
"E2-BEOS9-L",,"","",0,0,0,0,,0,0,,0
"E2-BEOS9-R",,"","",0,0,0,0,,0,0,,0
"E2-BF3",,"","",390,0,0,390,,0,0,,0
"E2-BF6",,"","",58,0,0,58,,0,0,,0
"E2-BMB",,"","",9,0,0,9,,0,0,,0
"E2-BMC30",,"","",0,0,0,0,,0,0,,0
"E2-BRP2430",,"","",36,0,0,36,,0,0,,0
"E2-BSR9",,"","",43,0,0,43,,0,0,,0
"E2-CM2 3/4",,"","",145,0,0,145,,0,0,,0
"E2-CM8",,"","",635,0,0,635,,0,0,,0
"E2-DB12",,"","",25,0,0,25,,0,0,,0
"E2-DB15",,"","",40,0,0,40,,0,0,,0
"E2-DB18",,"","",38,0,0,38,,0,0,,0
"E2-DB21",,"","",13,0,0,13,,0,0,,0
"E2-DB24",,"","",17,0,0,17,,0,0,,0
"E2-DB30",,"","",2,0,0,2,,0,0,,0
