,"Pref Vendor","Reorder Pt (Min)","Max","On Hand","On Sales Order","For Assemblies","Available","Order","On PO","Reorder Qty","Next Deliv","Sales/Week"
"CW2-REF3096",,"","",1,0,0,1,,0,0,,0
"CW2-SAMPLE DOOR",,0,0,-5,0,0,-5,,32,0,"03/08/2024",0
"CW2-SB27",,0,0,18,13,0,5,,0,0,,0
"CW2-SB30",,0,0,8,0,0,8,,0,0,,0
"CW2-SB33",,0,0,8,39,0,-31,,0,0,,0
"CW2-SB36",,0,0,15,19,0,-4,,0,0,,0
"CW2-SBA36",,0,0,26,16,0,10,,0,0,,0
"CW2-SHG30",,0,0,2,10,0,-8,,0,0,,0
"CW2-SM8",,0,0,79,0,0,79,,0,0,,0
"CW2-SOB",,0,0,2,0,0,2,,4,0,"10/09/2020",0
"CW2-SP3*34.5",,0,0,31,8,0,23,,0,0,,0
"CW2-TK8",,0,0,129,20,0,109,,1,0,"02/05/2020",0
"CW2-TOUCH UP",,"","",111,0,0,111,,0,0,,0
"CW2-VA2421",,0,0,8,14,0,-6,,0,0,,0
"CW2-VA3021",,0,0,2,61,0,-59,,0,0,,0
"CW2-VA3621",,0,0,3,8,0,-5,,0,0,,0
"CW2-VAD3021-L",,0,0,4,4,0,0,,0,0,,0
"CW2-VAD3021-R",,0,0,2,1,0,1,,0,0,,0
"CW2-VAD3621-L",,0,0,0,12,0,-12,"X",0,1,,0
"CW2-VAD3621-R",,0,0,2,24,0,-22,,0,0,,0
"CW2-VAD4821",,0,0,5,2,0,3,,0,0,,0
"CW2-VAS36",,0,0,12,2,0,10,,0,0,,0
"CW2-VAS48",,0,0,16,30,0,-14,,0,0,,0
"CW2-VAS72",,0,0,0,0,0,0,"X",0,1,,0
"CW2-VDB12",,"","",4,0,0,4,,0,0,,0
"CW2-VDB15",,"","",7,0,0,7,,0,0,,0
"CW2-W0930",,0,0,7,31,0,-24,,0,0,,0
"CW2-W0939",,0,0,18,10,0,8,,0,0,,0
"CW2-W1230",,0,0,28,16,0,12,,0,0,,0
"CW2-W1239",,0,0,27,14,0,13,,0,0,,0
"CW2-W1530",,0,0,8,10,0,-2,,0,0,,0
"CW2-W1539",,0,0,33,5,0,28,,0,0,,0
"CW2-W1830",,0,0,1,21,0,-20,,0,0,,0
"CW2-W1839",,0,0,17,30,0,-13,,0,0,,0
"CW2-W2130",,0,0,15,28,0,-13,,0,0,,0
"CW2-W2139",,0,0,10,9,0,1,,1,0,"12/12/2018",0
"CW2-W2412",,0,0,0,4,0,-4,"X",0,1,,0
"CW2-W2415",,0,0,6,5,0,1,,0,0,,0
"CW2-W2418",,0,0,0,3,0,-3,"X",0,1,,0
