,Pref Vendor,Reorder Pt (Min),Max,On Hand,On Sales Order,For Assemblies,Available,Order,On PO,Reorder Qty,Next Deliv,Sales/Week
Inventory333,,,,,,,,,,,,
CS3-SBA36,,,,0,0,0,0,,0,0,,0
CS3-SHG30,,,,0,0,0,0,,0,0,,0
CS3-SM8,,,,0,0,0,0,,0,0,,0
CS3-SP3*34.5,,,,0,0,0,0,,0,0,,0
CS3-TK,,,,0,0,0,0,,0,0,,0
CS3-TOUCH UP,,,,0,0,0,0,,0,0,,0
CS3-VA2421,,,,0,0,0,0,,0,0,,0
CS3-VA3021,,,,0,0,0,0,,0,0,,0
CS3-VA3621,,,,0,0,0,0,,0,0,,0
CS3-VAD3021-L,,,,0,0,0,0,,0,0,,0
CS3-VAD3021-R,,,,0,0,0,0,,0,0,,0
CS3-VAD3621-L,,,,0,0,0,0,,0,0,,0
CS3-VAD3621-R,,,,0,0,0,0,,0,0,,0
CS3-VAD4821,,,,0,0,0,0,,0,0,,0
CS3-VAS36,,,,0,0,0,0,,0,0,,0
CS3-VAS48,,,,0,0,0,0,,0,0,,0
CS3-VAS72,,,,0,0,0,0,,0,0,,0
CS3-W0930,,,,0,0,0,0,,0,0,,0
CS3-W0939,,,,0,0,0,0,,0,0,,0
CS3-W1230,,,,0,0,0,0,,0,0,,0
CS3-W1239,,,,0,0,0,0,,0,0,,0
CS3-W1530,,,,0,0,0,0,,0,0,,0
CS3-W1539,,,,0,0,0,0,,0,0,,0
CS3-W1830,,,,0,0,0,0,,0,0,,0
CS3-W1839,,,,0,0,0,0,,0,0,,0
CS3-W2130-2DOOR,,,,0,0,0,0,,0,0,,0
CS3-W2139-2DOOR,,,,0,0,0,0,,0,0,,0
CS3-W2412,,,,0,0,0,0,,0,0,,0
CS3-W2415,,,,0,0,0,0,,0,0,,0
CS3-W2418,,,,0,0,0,0,,0,0,,0
CS3-W2421,,,,0,0,0,0,,0,0,,0
CS3-W2424,,,,0,0,0,0,,0,0,,0
CS3-W2430,,,,0,0,0,0,,0,0,,0
CS3-W2439,,,,0,0,0,0,,0,0,,0
CS3-W2730,,,,0,0,0,0,,0,0,,0
CS3-W2739,,,,0,0,0,0,,0,0,,0
CS3-W3012,,,,0,0,0,0,,0,0,,0
CS3-W301224,,,,0,0,0,0,,0,0,,0
CS3-W3015,,,,0,0,0,0,,0,0,,0
CS3-W301524,,,,0,0,0,0,,0,0,,0
CS3-W3018,,,,0,0,0,0,,0,0,,0
CS3-W301824,,,,0,0,0,0,,0,0,,0
CS3-W3021,,,,0,0,0,0,,0,0,,0
CS3-W302124,,,,0,0,0,0,,0,0,,0
CS3-W3024,,,,0,0,0,0,,0,0,,0
CS3-W302424,,,,0,0,0,0,,0,0,,0
CS3-W3030,,,,0,0,0,0,,0,0,,0
CS3-W3039,,,,0,0,0,0,,0,0,,0
CS3-W3312,,,,0,0,0,0,,0,0,,0
CS3-W331224,,,,0,0,0,0,,0,0,,0
CS3-W3315,,,,0,0,0,0,,0,0,,0
CS3-W331524,,,,0,0,0,0,,0,0,,0
CS3-W3318,,,,0,0,0,0,,0,0,,0
CS3-W3321,,,,0,0,0,0,,0,0,,0
CS3-W332124,,,,0,0,0,0,,0,0,,0
CS3-W3324,,,,0,0,0,0,,0,0,,0
CS3-W332424,,,,0,0,0,0,,0,0,,0
CS3-W3330,,,,0,0,0,0,,0,0,,0
CS3-W3339,,,,0,0,0,0,,0,0,,0
CS3-W3612,,,,0,0,0,0,,0,0,,0
CS3-W361224,,,,0,0,0,0,,0,0,,0
CS3-W3615,,,,0,0,0,0,,0,0,,0
CS3-W361524,,,,0,0,0,0,,0,0,,0
CS3-W3618,,,,0,0,0,0,,0,0,,0
CS3-W361824,,,,0,0,0,0,,0,0,,0
CS3-W3621,,,,0,0,0,0,,0,0,,0
CS3-W362124,,,,0,0,0,0,,0,0,,0
CS3-W3624,,,,0,0,0,0,,0,0,,0
CS3-W362424,,,,0,0,0,0,,0,0,,0
CS3-W3630,,,,0,0,0,0,,0,0,,0
CS3-W3639,,,,0,0,0,0,,0,0,,0
CS3-WBC2730,,,,0,0,0,0,,0,0,,0
CS3-WBC2739,,,,0,0,0,0,,0,0,,0
CS3-WDC2430,,,,0,0,0,0,,0,0,,0
CS3-WDC2439,,,,0,0,0,0,,0,0,,0
CS3-WEA1230,,,,0,0,0,0,,0,0,,0
CS3-WEA1239,,,,0,0,0,0,,0,0,,0
CS3-WES630,,,,0,0,0,0,,0,0,,0
CS3-WES639,,,,0,0,0,0,,0,0,,0
CS3-WES930,,,,0,0,0,0,,0,0,,0
CS3-WES930-L,,,,0,0,0,0,,0,0,,0
CS3-WES930-R,,,,0,0,0,0,,0,0,,0
